Timestamp,SMB1 Ops/sec,SMB2 Ops/sec,VSPfs00 Ops/sec,VSPfs00 CIFS Read Resp Time,VSPfs00 CIFS Write Resp Time,NVRAM Allocs,Bossock Fibers,MFB,MMB,NibRX Busy,NibTX Busy,NibTCP Busy,NICC Busy,FDP Busy,TDP Busy,FSA Busy,WLOG Busy,MBI Busy,WDIR Busy,WFILE Busy,WLOG Busy,OBJ Busy,SI Busy,Eth RX,Eth TX,FC RX,FC TX,Port1 Disk Read,Port1 Disk Write,Port2 Disk Read,Port2 Disk Write,Port3 Disk Read,Port3 Disk Write,Port4 Disk Read,Port4 Disk Write
2015-10-21 08:31:14 -0700,0,248,176,311,440,0,1,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015-10-21 08:31:25 -0700,0,380,177,344,448,0,1,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,0,4096,0,356352,0,331776
2015-10-21 08:31:35 -0700,0,406,175,409,442,0,1,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2015-10-21 08:31:45 -0700,0,403,173,448,501,0,1,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2015-10-21 08:31:55 -0700,0,2615,3780,1785,529,0,1,3,22,2,3,1,0,1,1,0,2,0,1,2,2,1,2,130,150,137,0,4319232,0,5518336,0,3340800,0,4029440,0
2015-10-21 08:32:05 -0700,0,2539,2324,2587,497,0,1,3,26,2,3,1,1,0,1,1,1,0,1,1,1,1,1,104,89,67,0,2057216,0,2238464,0,1186304,0,3010048,0
2015-10-21 08:32:15 -0700,0,2552,2482,2945,460,0,1,3,24,1,3,1,0,0,1,0,1,0,1,1,1,1,1,130,181,102,0,6430208,0,2274816,0,3740160,0,346112,0
2015-10-21 08:32:25 -0700,0,3657,3342,3858,480,0,1,9,33,2,3,1,1,1,2,1,1,0,1,1,1,2,9,95,103,119,1445,5916160,50597888,4892160,54525952,2112512,37748736,2008576,37847040
2015-10-21 08:32:35 -0700,0,2392,2261,2629,464,0,1,3,26,1,3,1,1,0,1,0,1,0,1,1,1,1,1,123,106,91,0,2680832,0,502784,0,2641920,0,5590016,0
2015-10-21 08:32:45 -0700,0,3622,3487,3201,498,0,1,3,32,2,3,1,0,1,1,0,2,0,1,2,2,1,2,64,234,242,0,11430912,0,9780736,0,3189760,0,5899264,0
2015-10-21 08:32:55 -0700,0,2806,2842,2828,465,0,1,3,28,2,3,1,1,0,1,1,2,0,1,1,2,1,1,116,109,95,0,6007296,0,1034240,0,4336128,0,552960,0
