"","Baseline Read","File Auditing Read","DI File Auditing Read","DI Scaning Read","DI File Audit and Scan Read","Baseline Write","File Auditing Write","DI File Auditing Write","DI Scaning Write","DI File Audit and Scan Write"
"1","311","2780","3051","867","3603","440","20990","2581","2276","3823"
"2","344","2386","2810","2759","2401","448","1617","1939","2334","2314"
"3","409","2797","2742","2356","2967","442","1348","1645","2322","2333"
"4","448","3334","3529","3356","2806","501","1212","1819","2307","1806"
"5","1785","3719","2655","2827","2973","529","1064","2121","2390","1971"
"6","2587","3353","2997","2395","3087","497","1041","1546","2055","2057"
"7","2945","3735","3209","2761","3089","460","1087","1834","2342","1871"
"8","3858","3047","2712","2487","2449","480","977","1703","2485","1949"
"9","2629","3133","2913","2909","2779","464","993","1825","2146","1851"
"10","3201","2829","3022","2370","2584","498","865","1720","1992","1817"
"11","2828","3116","3486","2836","2954","465","940","1638","2013","1841"
"12","3297","4161","3703","3019","3298","513","944","1624","2069","1755"
"13","3130","2926","2827","2334","2923","475","829","1417","2217","1822"
"14","2834","2919","2725","2489","2262","461","946","1715","2169","1609"
"15","3507","2448","2750","1914","2318","479","787","1758","2217","1668"
"16","3345","1946","2812","2276","2525","467","914","1629","2404","1486"
"17","2591","2883","3047","2583","2602","494","847","1957","2017","1754"
"18","2883","2196","2590","2483","2999","465","769","1624","2135","1586"
"19","2297","3605","2967","2621","2869","454","948","1922","2317","1853"
"20","1800","2901","3085","2902","3131","496","786","1496","2228","3525"
"21","2794","3434","3271","3095","3091","441","828","1924","2183","4838"
"22","3189","2835","2413","2280","3099","498","784","1863","2135","1820"
"23","3011","2867","2881","2708","2855","444","800","1992","2471","1670"
"24","2848","3054","3017","3182","2817","472","748","2500","2689","2297"
"25","3923","2852","2416","2154","2301","516","739","1898","2409","1836"
"26","2917","4198","3631","3589","3288","444","876","1768","2375","2094"
"27","3465","2795","2811","2489","3371","476","796","1504","2010","1929"
"28","2889","3230","3197","2846","3052","447","888","1510","2404","1955"
"29","3454","3173","3152","2117","3131","459","774","1646","2064","1970"
"30","4184","2884","2367","2306","3242","476","801","1671","2076","1910"
"31","2848","2329","2192","2194","2259","458","733","1715","2055","1858"
"32","2697","1296","2101","2403","1922","502","764","1729","2140","1634"
"33","1898","2418","3040","2844","2507","462","755","1932","2114","1694"
"34","3092","2455","2706","2270","3040","475","793","1760","2247","1555"
"35","2015","2928","3324","2121","2744","464","765","1732","2090","1861"
"36","2207","3038","3513","2794","2893","575","848","1928","2154","1874"
"37","3171","3603","2633","2365","3187","492","755","1616","2047","2117"
"38","2191","2983","2972","3005","2611","470","746","1696","2208","1989"
"39","3127","1760","2063","2325","2616","478","762","1441","2063","2021"
"40","2359","2551","3006","2628","2732","504","727","1649","2071","1909"
"41","2529","2910","2686","2419","2761","472","725","1773","2062","1906"
"42","2560","2992","3044","2529","2604","527","772","1511","2050","1931"
"43","1832","2965","3310","2886","3392","444","786","1895","2346","2179"
"44","2467","3226","2862","2671","3498","495","700","1835","2162","1788"
"45","2938","2562","2984","3282","3440","452","748","1653","2115","1866"
"46","4021","2485","3883","2187","2875","488","721","1752","2074","1802"
"47","3562","1771","2641","1981","2166","467","687","1814","2217","2307"
"48","2818","2138","2425","2405","2713","472","705","1471","2065","2055"
"49","1997","2173","2313","2171","2695","470","737","1555","2095","2064"
"50","2126","3523","3475","3102","3623","458","769","1944","2252","1880"
"51","1897","3843","3503","2823","3241","465","681","1556","2172","1809"
"52","2278","2482","3180","2994","2940","461","747","1714","2319","1843"
"53","2752","2874","2889","2717","3204","478","683","1731","2104","2038"
"54","3034","2538","2803","3294","3707","465","623","1532","2150","1828"
"55","3549","3065","3052","2974","2667","509","692","1740","2189","1704"
"56","3010","2404","2563","2299","2656","476","716","1369","2146","1705"
"57","3088","3016","3325","3108","3404","444","717","1693","2195","1914"
"58","2593","3224","3123","2931","2861","481","698","1437","2112","1743"
"59","2325","2994","2859","2806","2597","453","664","1703","2311","1750"
"60","2985","2911","3045","2843","3009","493","698","1748","2271","1604"
"61","3335","2355","2623","2564","2660","463","615","1923","1930","2144"
"62","2719","1985","2606","2818","2615","436","703","1843","2393","1874"
"63","3021","2208","2559","1710","2127","481","979","1600","1913","2116"
"64","3128","2457","2698","2786","2937","454","7397","1750","2382","1906"
"65","2865","1992","2344","2328","2686","446","695","1961","2284","2209"
"66","2763","2882","2924","2500","2979","499","649","1655","2392","1877"
"67","3137","3327","3215","2854","3563","424","647","1564","2238","1877"
"68","2467","2455","2396","2460","2877","478","640","1611","3256","1597"
"69","2177","2901","3279","3088","3176","443","665","6734","3601","1929"
"70","3179","3134","2593","2335","2924","506","710","1859","2155","1440"
"71","2493","2933","2779","2839","2840","440","829","1704","2239","1888"
