"","x"
"1","0"
"2","632"
"3","651"
"4","665"
"5","532"
"6","540"
"7","530"
"8","510"
"9","497"
"10","553"
"11","462"
"12","525"
"13","487"
"14","503"
"15","515"
"16","491"
"17","532"
"18","495"
"19","508"
"20","513"
"21","485"
"22","544"
"23","465"
"24","498"
"25","498"
"26","468"
"27","508"
"28","519"
"29","501"
"30","519"
"31","508"
"32","567"
"33","483"
"34","554"
"35","473"
"36","513"
"37","476"
"38","487"
"39","504"
"40","482"
"41","493"
"42","496"
"43","468"
"44","512"
"45","463"
"46","544"
"47","503"
"48","511"
"49","472"
"50","478"
"51","482"
"52","536"
"53","491"
"54","504"
"55","466"
"56","529"
"57","441"
"58","526"
"59","462"
"60","477"
"61","465"
"62","489"
"63","486"
"64","451"
"65","463"
"66","491"
"67","482"
"68","485"
"69","462"
"70","515"
"71","471"
"72","491"
"73","470"
"74","477"
"75","542"
"76","489"
"77","479"
"78","494"
"79","468"
"80","465"
"81","456"
"82","604"
"83","460"
"84","496"
"85","467"
"86","460"
"87","492"
"88","457"
"89","469"
"90","509"
"91","518"
"92","488"
"93","466"
"94","507"
"95","448"
"96","494"
"97","468"
"98","508"
"99","484"
"100","467"
"101","476"
"102","482"
"103","491"
"104","459"
"105","458"
"106","562"
"107","475"
"108","497"
"109","463"
"110","475"
"111","470"
"112","459"
"113","499"
"114","454"
"115","512"
"116","478"
"117","460"
"118","506"
"119","474"
"120","499"
"121","25236"
"122","6845"
"123","4364"
"124","3568"
"125","2559"
"126","2236"
"127","2491"
"128","2165"
"129","2312"
"130","2201"
"131","1743"
"132","2013"
"133","1860"
"134","1694"
"135","1693"
"136","1642"
"137","1702"
"138","1498"
"139","1544"
"140","1435"
"141","1429"
"142","1505"
"143","1198"
"144","1416"
"145","1359"
"146","1381"
"147","1357"
"148","1400"
"149","1427"
"150","1456"
"151","1366"
"152","1329"
"153","1201"
"154","1362"
"155","1113"
"156","1330"
"157","1321"
"158","1213"
"159","1223"
"160","1092"
"161","1166"
"162","1084"
"163","1172"
"164","1070"
"165","1094"
"166","1295"
"167","1109"
"168","1116"
"169","1118"
"170","997"
"171","1156"
"172","1004"
"173","1038"
"174","1083"
"175","1043"
"176","1015"
"177","1193"
"178","872"
"179","1054"
"180","996"
"181","1019"
"182","1005"
"183","918"
"184","960"
"185","838"
"186","954"
"187","898"
"188","962"
"189","1050"
"190","850"
"191","962"
"192","886"
"193","914"
"194","919"
"195","939"
"196","1036"
"197","906"
"198","985"
"199","943"
"200","921"
"201","981"
"202","962"
"203","1094"
"204","913"
"205","917"
"206","910"
"207","901"
"208","891"
"209","885"
"210","968"
"211","854"
"212","857"
"213","950"
"214","740"
"215","962"
"216","838"
"217","873"
"218","871"
"219","848"
"220","805"
"221","795"
"222","858"
"223","806"
"224","901"
"225","888"
"226","722"
"227","1007"
"228","808"
"229","868"
"230","853"
"231","828"
"232","812"
"233","809"
"234","839"
"235","755"
"236","772"
"237","782"
"238","675"
"239","870"
"240","791"
"241","2816"
"242","1816"
"243","1643"
"244","1692"
"245","1870"
"246","1616"
"247","1779"
"248","1714"
"249","1644"
"250","1533"
"251","1617"
"252","1752"
"253","1562"
"254","1573"
"255","1601"
"256","1424"
"257","1612"
"258","1830"
"259","2181"
"260","1621"
"261","1709"
"262","1511"
"263","1754"
"264","2050"
"265","1999"
"266","1517"
"267","1613"
"268","1481"
"269","1532"
"270","1702"
"271","1769"
"272","1761"
"273","1861"
"274","1837"
"275","1595"
"276","1602"
"277","1837"
"278","1523"
"279","1793"
"280","1806"
"281","1779"
"282","2003"
"283","1916"
"284","1696"
"285","1587"
"286","1677"
"287","1519"
"288","1754"
"289","1625"
"290","1659"
"291","1392"
"292","1785"
"293","1575"
"294","1467"
"295","1983"
"296","1369"
"297","1753"
"298","1906"
"299","1889"
"300","1678"
"301","1930"
"302","2003"
"303","1681"
"304","1843"
"305","1719"
"306","1620"
"307","1977"
"308","1310"
"309","1482"
"310","1672"
"311","1950"
"312","1482"
"313","1654"
"314","1592"
"315","1587"
"316","1568"
"317","1501"
"318","1743"
"319","1493"
"320","1697"
"321","1663"
"322","1746"
"323","1572"
"324","1593"
"325","1461"
"326","1738"
"327","1719"
"328","1564"
"329","1677"
"330","1684"
"331","1493"
"332","1779"
"333","1772"
"334","1613"
"335","1547"
"336","1515"
"337","1728"
"338","1604"
"339","1517"
"340","1843"
"341","1614"
"342","1768"
"343","1383"
"344","1655"
"345","1690"
"346","1508"
"347","1549"
"348","1612"
"349","1645"
"350","1663"
"351","1963"
"352","1526"
"353","1630"
"354","1789"
"355","1737"
"356","1819"
"357","1437"
"358","1578"
"359","1643"
"360","1624"
"361","2433"
"362","2337"
"363","2091"
"364","2194"
"365","2275"
"366","2204"
"367","2204"
"368","2292"
"369","2531"
"370","2019"
"371","2158"
"372","2161"
"373","2307"
"374","2306"
"375","2143"
"376","2183"
"377","2239"
"378","2478"
"379","2281"
"380","2180"
"381","2535"
"382","2541"
"383","2359"
"384","2157"
"385","2321"
"386","2476"
"387","2185"
"388","2129"
"389","2189"
"390","2170"
"391","2323"
"392","1940"
"393","2194"
"394","2097"
"395","2133"
"396","2202"
"397","2095"
"398","2108"
"399","2021"
"400","2142"
"401","2152"
"402","2192"
"403","2230"
"404","2265"
"405","2106"
"406","2158"
"407","2230"
"408","2095"
"409","2081"
"410","2152"
"411","1885"
"412","2277"
"413","2112"
"414","2018"
"415","2201"
"416","2012"
"417","2366"
"418","2387"
"419","1958"
"420","2130"
"421","2254"
"422","2158"
"423","2590"
"424","2181"
"425","2238"
"426","2169"
"427","2073"
"428","2320"
"429","2239"
"430","2196"
"431","2294"
"432","2209"
"433","2191"
"434","2209"
"435","2116"
"436","2243"
"437","2267"
"438","2261"
"439","1955"
"440","2207"
"441","1973"
"442","2094"
"443","2137"
"444","2170"
"445","2064"
"446","2097"
"447","2162"
"448","2149"
"449","2192"
"450","2209"
"451","2284"
"452","2297"
"453","2212"
"454","2236"
"455","2167"
"456","2227"
"457","2226"
"458","2176"
"459","2252"
"460","2017"
"461","2127"
"462","2221"
"463","2151"
"464","2252"
"465","1877"
"466","2136"
"467","2106"
"468","2247"
"469","2180"
"470","1962"
"471","2218"
"472","2062"
"473","2195"
"474","2147"
"475","2066"
"476","2274"
"477","2078"
"478","2319"
"479","2041"
"480","2151"
"481","15554"
"482","3069"
"483","2918"
"484","3070"
"485","3359"
"486","3348"
"487","2930"
"488","2627"
"489","2999"
"490","2958"
"491","2646"
"492","2822"
"493","2618"
"494","2688"
"495","3018"
"496","2627"
"497","3338"
"498","2676"
"499","3208"
"500","2719"
"501","2448"
"502","1970"
"503","1801"
"504","1929"
"505","1690"
"506","1516"
"507","1759"
"508","1724"
"509","1804"
"510","1724"
"511","1730"
"512","1766"
"513","1847"
"514","1734"
"515","2027"
"516","1708"
"517","1943"
"518","1814"
"519","1932"
"520","1760"
"521","1811"
"522","1796"
