Timestamp,SMB1 Ops/sec,SMB2 Ops/sec,VSPfs00 Ops/sec,VSPfs00 CIFS Read Resp Time,VSPfs00 CIFS Write Resp Time,NVRAM Allocs,Bossock Fibers,MFB,MMB,NibRX Busy,NibTX Busy,NibTCP Busy,NICC Busy,FDP Busy,TDP Busy,FSA Busy,WLOG Busy,MBI Busy,WDIR Busy,WFILE Busy,WLOG Busy,OBJ Busy,SI Busy,Eth RX,Eth TX,FC RX,FC TX,Port1 Disk Read,Port1 Disk Write,Port2 Disk Read,Port2 Disk Write,Port3 Disk Read,Port3 Disk Write,Port4 Disk Read,Port4 Disk Write
2015-10-24 21:07:20 -0700,0,2009,957,3603,3823,0,1,3,81,1,3,1,0,1,1,0,2,1,1,1,2,1,1,74,195,108,0,5382656,0,3466752,0,1802752,0,2924032,0
2015-10-24 21:07:30 -0700,0,3690,3761,2401,2314,0,1,3,84,2,3,1,1,1,2,1,2,0,1,1,2,1,2,190,90,94,0,3184128,0,3987456,0,3195392,0,1387520,0
2015-10-24 21:07:40 -0700,0,3199,2847,2967,2333,0,1,3,82,1,3,1,0,0,1,0,2,0,1,1,2,1,1,69,120,64,0,4118016,0,1695232,0,665600,0,1600000,0
2015-10-24 21:07:50 -0700,0,4600,3821,2806,1806,0,1,3,84,2,3,2,1,1,2,1,3,1,1,2,3,1,2,200,242,161,0,6134272,0,8130048,0,3945472,0,2025984,0
2015-10-24 21:08:00 -0700,0,3313,2858,2973,1971,0,1,5,83,1,3,1,0,0,2,2,2,0,1,1,2,2,5,99,130,84,771,3237888,36339712,3400704,25100288,2768896,16646144,1118720,18395136
2015-10-24 21:08:10 -0700,0,3968,3396,3087,2057,0,1,3,83,2,3,1,0,1,2,0,3,1,1,2,3,2,3,94,220,305,0,15252480,0,6851072,0,5060608,0,11002368,0
2015-10-24 21:08:20 -0700,0,3511,3354,3089,1871,0,1,3,81,2,3,2,2,1,2,1,3,0,1,2,3,2,2,226,96,98,0,2380800,0,5342720,0,4273152,0,343552,0
2015-10-24 21:08:30 -0700,0,3334,2871,2449,1949,0,1,3,82,1,3,1,0,0,1,0,2,0,1,1,2,1,1,172,102,67,0,3225088,0,2370560,0,880640,0,1992192,0
2015-10-24 21:08:41 -0700,0,4013,3810,2779,1851,0,1,3,83,2,3,2,1,1,3,2,2,1,1,1,2,3,7,94,130,83,1007,1616384,38105088,5488640,37629952,1575424,25096192,1762304,25120768
2015-10-24 21:08:51 -0700,0,3630,2993,2584,1817,0,1,3,82,2,3,2,1,0,2,1,3,1,1,2,3,1,2,262,114,66,0,1780224,0,2483712,0,2409984,0,1616896,0
2015-10-24 21:09:01 -0700,0,4334,3560,2954,1841,0,1,3,82,2,3,1,1,1,2,0,3,1,1,2,3,1,2,119,227,204,0,4223488,0,12793344,0,6237696,0,2342400,0
2015-10-24 21:09:11 -0700,0,3442,3392,3298,1755,0,1,3,78,2,3,1,1,1,2,1,2,0,1,1,2,1,2,154,178,144,0,10018816,0,5900288,0,842752,0,1349632,0
2015-10-24 21:09:21 -0700,0,3929,3255,2923,1822,0,1,3,79,2,3,2,1,1,2,1,3,1,1,2,3,2,3,156,234,213,0,13399040,0,3762176,0,4370944,0,5173248,0
2015-10-24 21:09:31 -0700,0,3660,3584,2262,1609,0,1,3,79,1,3,1,1,1,1,0,2,0,1,1,2,1,2,133,133,113,0,2636800,0,7206400,0,2243072,0,2052096,0
