"","900 users","1200 users","1800 users","2400 users","3000 users"
"SMB2.Ops.sec",2991.15,3709.933,5142.892,5992.3,7290.292
"VSPfs00.Ops.sec",2568.408,3290.775,4853.333,5800.367,7036.942
"VSPfs00.CIFS.Read.Resp.Time",3255.517,3044.333,4392.292,3765.992,4629.858
"VSPfs00.CIFS.Write.Resp.Time",2604.775,1893.792,2244.192,936.375,1078.525
"MFB",3.175,3.692,5.125,5.75,7.517
"MMB",76.975,80.783,84.658,46.592,51.592
"NibRX.Busy",1.167,1.625,2.458,2.708,3.833
"NibTX.Busy",3,3,3,3.092,3.867
"NibTCP.Busy",1.067,1.267,2,2.575,3.733
"NICC.Busy",0.342,0.558,0.917,1.2,1.717
"FDP.Busy",0.5,0.833,1.125,1.35,1.375
"TDP.Busy",1.15,1.65,2.633,3.367,4.217
"FSA.Busy",0.3,0.808,1.408,2.125,1.783
"MBI.Busy",0.158,0.375,0.925,0.975,1.058
"WDIR.Busy",0.95,1,1.125,1.45,1.917
"WFILE.Busy",1.133,1.5,2.267,2.542,3.4
"WLOG.Busy",2.05,2.492,3.333,3.45,4.475
"OBJ.Busy",1.092,1.458,2.217,3.017,3.658
"SI.Busy",1.867,2.725,4.4,5.167,7.375
"Eth.RX",91.908,114.558,198.917,261.125,410.3
"Eth.TX",130.5,172.533,267.358,337.817,373.367
"FC.RX",108.283,142.275,221.975,298.217,315.758
"FC.TX",85.692,117.183,223.283,277.217,388.892
"Port1.Disk.Read",3803319.467,5321591.467,8320234.667,10960034.133,11788535.467
"Port1.Disk.Write",3071112.533,4555298.133,8316620.8,11593728,17868151.467
"Port2.Disk.Read",4307144.533,5556565.333,8385122.133,11369924.267,11540659.2
"Port2.Disk.Write",3576422.4,4334933.333,8516232.533,11729851.733,17051409.067
"Port3.Disk.Read",2829337.6,3493721.6,5680025.6,7758638.933,8410538.667
"Port3.Disk.Write",2311645.867,2757461.333,5490278.4,7822199.467,12489216
"Port4.Disk.Read",2627468.8,3574749.867,5302813.867,6967027.2,7795972.267
"Port4.Disk.Write",2344072.533,3011379.2,5597764.267,7817250.133,11505083.733
