Timestamp,SMB1 Ops/sec,SMB2 Ops/sec,VSPfs00 Ops/sec,VSPfs00 CIFS Read Resp Time,VSPfs00 CIFS Write Resp Time,NVRAM Allocs,Bossock Fibers,MFB,MMB,NibRX Busy,NibTX Busy,NibTCP Busy,NICC Busy,FDP Busy,TDP Busy,FSA Busy,WLOG Busy,MBI Busy,WDIR Busy,WFILE Busy,WLOG Busy,OBJ Busy,SI Busy,Eth RX,Eth TX,FC RX,FC TX,Port1 Disk Read,Port1 Disk Write,Port2 Disk Read,Port2 Disk Write,Port3 Disk Read,Port3 Disk Write,Port4 Disk Read,Port4 Disk Write
2015-10-24 18:32:54 -0700,0,5862,7925,5472,1758,0,1,9,75,5,4,4,3,2,5,2,5,1,2,4,5,4,9,505,483,366,548,12342272,14561280,13611520,23650304,8656384,16236544,11226112,14098432
2015-10-24 18:33:04 -0700,0,4959,4274,4964,3028,0,1,3,87,2,3,2,1,1,2,1,3,1,1,2,3,2,3,175,270,248,0,9018368,0,10887680,0,5984256,0,5213696,0
2015-10-24 18:33:14 -0700,0,5636,5020,4298,2635,0,1,14,85,3,3,3,1,1,3,1,4,1,1,2,4,3,14,339,230,180,2192,4596736,101814272,9008640,67256320,5736960,55496704,3168256,49512448
2015-10-24 18:33:24 -0700,0,8596,8041,3828,2113,0,1,6,93,5,4,6,3,2,5,2,5,1,2,4,5,4,6,658,443,364,0,15085056,0,18101760,0,4153856,0,8216576,0
2015-10-24 18:33:34 -0700,0,4953,4389,4542,2821,0,1,4,86,3,3,3,2,1,3,1,3,1,1,2,3,2,4,281,206,211,0,5439488,0,7030272,0,7692288,0,6324736,0
2015-10-24 18:33:44 -0700,0,7990,7187,3726,1957,0,1,6,91,3,3,3,1,2,4,1,4,1,2,3,4,3,6,146,436,451,0,15196160,0,17095168,0,13043712,0,10839040,0
2015-10-24 18:33:54 -0700,0,5994,5619,4302,2537,0,1,4,87,3,3,3,1,1,3,1,4,1,2,2,4,3,17,583,263,167,2554,3544064,89292800,4134400,100966400,5340672,62451712,7898112,66625536
2015-10-24 18:34:04 -0700,0,5925,6043,4033,2129,0,1,6,86,4,3,3,1,2,4,1,5,1,2,3,5,3,6,181,502,544,0,20987904,0,23282176,0,12703232,0,11052032,0
2015-10-24 18:34:14 -0700,0,6337,4709,4481,2529,0,1,4,89,3,3,3,2,1,3,1,3,1,1,2,3,2,4,525,247,211,0,7771648,0,13395456,0,3464192,0,1747968,0
2015-10-24 18:34:25 -0700,0,6423,6348,4098,2121,0,1,4,87,3,3,2,1,1,3,1,4,1,1,2,4,2,3,410,358,170,0,5469184,0,5445632,0,5276160,0,5151744,0
2015-10-24 18:34:35 -0700,0,8005,7975,4876,2496,0,1,7,92,5,4,4,2,2,5,1,6,1,2,4,6,3,7,196,550,506,0,19073536,0,18399744,0,16125440,0,9716736,0
2015-10-24 18:34:45 -0700,0,5560,3177,18327,51036,0,1,3,73,1,3,1,0,1,1,0,2,0,1,1,2,1,2,8,238,221,0,7397376,0,7146496,0,7171584,0,5966848,0
2015-10-24 18:34:55 -0700,0,7872,8058,12268,28609,0,1,5,90,3,3,3,1,2,3,1,4,1,2,3,4,3,5,400,473,423,0,14583808,0,17233408,0,9837056,0,11302400,0
2015-10-24 18:35:05 -0700,0,5452,4710,4137,2612,0,1,3,88,3,3,2,2,1,3,1,3,1,1,2,3,2,3,421,223,164,0,5596672,0,4726784,0,7927296,0,2310656,0
2015-10-24 18:35:15 -0700,0,5359,4330,3513,2131,0,1,6,85,2,3,1,1,1,1,1,3,0,1,2,3,1,6,131,168,106,930,6540288,38350848,2486272,41013248,1767424,18296832,2558976,18661376
2015-10-24 18:35:25 -0700,0,7577,6871,3926,2767,0,1,4,91,4,3,4,2,1,3,2,4,1,1,3,4,2,4,588,239,176,0,9437696,0,7550464,0,2466304,0,2669056,0
2015-10-24 18:35:35 -0700,0,5662,5426,3527,2080,0,1,4,87,3,3,2,1,1,2,1,4,1,1,2,4,2,3,239,334,287,0,11741184,0,7114240,0,11556864,0,5468160,0
2015-10-24 18:35:45 -0700,0,8006,7454,4325,2345,0,1,5,91,4,3,4,2,2,4,1,5,1,2,3,5,3,10,401,449,446,947,25647104,30932992,9556480,34676736,9387520,28897280,11161600,23883776
2015-10-24 18:35:56 -0700,0,6113,5788,4160,2695,0,1,3,88,2,3,2,1,1,2,1,3,1,1,2,3,2,3,359,283,166,0,7190528,0,5222400,0,4500992,0,3960832,0
2015-10-24 18:36:06 -0700,0,6887,6855,4234,2176,0,1,5,88,4,3,3,1,2,4,1,5,1,2,3,5,3,5,325,634,472,0,13030400,0,11749376,0,17324032,0,16985600,0
2015-10-24 18:36:16 -0700,0,6094,4593,4378,2546,0,1,14,88,2,3,3,1,1,2,1,3,1,1,2,3,2,14,166,271,133,2177,10244608,96419840,2079232,64434176,3553792,59424768,795648,51941376
2015-10-24 18:36:26 -0700,0,5914,5532,3960,2258,0,1,12,86,3,3,2,1,1,3,1,3,1,1,2,3,2,12,701,222,175,1856,4763136,87990272,9542144,60313600,6026752,54317056,1656832,29466624
2015-10-24 18:36:36 -0700,0,7853,7470,4022,2909,0,1,5,91,4,3,3,2,2,4,1,4,1,2,3,4,3,5,409,637,438,0,15938048,0,18990080,0,6786048,0,13054976,0
