"","900 users","1200 users","1800 users","2400 users","3000 users"
"SMB2.Ops.sec",2543.717,3283.542,4772.95,6429.3,7906.158
"VSPfs00.Ops.sec",2164.867,2886.558,4339.583,5946.092,7280.533
"VSPfs00.CIFS.Read.Resp.Time",3415.967,2954.367,3314.408,4465.283,4764.567
"VSPfs00.CIFS.Write.Resp.Time",1686.042,1763.3,1993.108,2958.708,2868.225
"MFB",3.292,3.875,4.5,5.442,6.45
"MMB",75.35,77.742,82.783,87.625,91.625
"NibRX.Busy",1.092,1.383,2.25,3.092,3.742
"NibTX.Busy",3,3,3,3.15,3.433
"NibTCP.Busy",1.067,1.275,1.975,2.833,3.4
"NICC.Busy",0.383,0.533,0.95,1.292,1.525
"FDP.Busy",0.458,0.742,1.083,1.35,1.567
"TDP.Busy",1.233,1.492,2.483,3.133,3.842
"FSA.Busy",0.292,1.1,1.075,1.283,1.558
"MBI.Busy",0.083,0.108,0.658,0.975,1.017
"WDIR.Busy",0.5,0.925,1.042,1.433,1.767
"WFILE.Busy",1.017,1.242,1.958,2.517,3.35
"WLOG.Busy",1.9,2.258,3.05,3.875,4.725
"OBJ.Busy",0.942,1.642,1.75,2.433,2.917
"SI.Busy",1.942,2.283,3.775,5.217,6.308
"Eth.RX",98.233,122.458,201.825,298.083,381.942
"Eth.TX",135.875,174.492,262.467,341.817,422.642
"FC.RX",108.225,139.575,216.533,289.283,355.325
"FC.TX",115.008,106.867,213.108,253.208,314.508
"Port1.Disk.Read",3840669.867,5430562.133,7884753.067,10439402.667,14188851.2
"Port1.Disk.Write",4474743.467,3993088,7268829.867,9222178.133,14151782.4
"Port2.Disk.Read",4050048,5571502.933,8020544,10758395.733,12579805.867
"Port2.Disk.Write",4377668.267,3999232,7471820.8,8565350.4,14264012.8
"Port3.Disk.Read",2745890.133,3236561.067,5559317.333,7670732.8,8901755.733
"Port3.Disk.Write",2757563.733,2703291.733,4868232.533,5937595.733,9411106.133
"Port4.Disk.Read",2915805.867,3232153.6,5541457.067,7487863.467,8725798.4
"Port4.Disk.Write",2949324.8,2600857.6,4767641.6,5915886.933,9509341.867
