Timestamp,SMB1 Ops/sec,SMB2 Ops/sec,VSPfs00 Ops/sec,VSPfs00 CIFS Read Resp Time,VSPfs00 CIFS Write Resp Time,NVRAM Allocs,Bossock Fibers,MFB,MMB,NibRX Busy,NibTX Busy,NibTCP Busy,NICC Busy,FDP Busy,TDP Busy,FSA Busy,WLOG Busy,MBI Busy,WDIR Busy,WFILE Busy,WLOG Busy,OBJ Busy,SI Busy,Eth RX,Eth TX,FC RX,FC TX,Port1 Disk Read,Port1 Disk Write,Port2 Disk Read,Port2 Disk Write,Port3 Disk Read,Port3 Disk Write,Port4 Disk Read,Port4 Disk Write
2015-10-25 11:26:27 -0700,0,3178,2177,1070,2342,0,1,4,77,3,3,2,1,1,2,1,4,0,1,2,4,2,3,190,199,170,0,3820544,0,10922496,0,3200000,0,3399168,0
2015-10-25 11:26:38 -0700,0,7151,7574,3329,3464,0,1,4,93,3,3,2,1,1,2,1,4,1,1,2,4,2,3,251,241,200,0,5500416,0,6369792,0,10392064,0,2746880,0
2015-10-25 11:26:48 -0700,0,6251,5982,4285,3139,0,1,14,90,3,3,3,1,1,7,5,4,1,1,3,4,6,14,320,248,192,1858,7469056,64094208,8518144,68730880,2786304,48099328,5299200,51445760
2015-10-25 11:26:58 -0700,0,8975,8461,3182,2451,0,1,6,96,5,4,4,2,2,5,2,6,1,2,4,6,3,6,542,578,467,0,18933760,0,19297280,0,10813440,0,9386496,0
2015-10-25 11:27:08 -0700,0,6157,5768,4414,3685,0,1,13,91,3,3,3,2,1,6,5,4,1,1,3,4,6,13,336,187,154,1688,3694592,49344512,5283840,74592256,5316096,35401728,4981760,51724288
2015-10-25 11:27:18 -0700,0,8462,7341,3444,2527,0,1,6,95,4,3,3,1,2,3,1,6,1,2,4,6,2,5,375,411,410,0,14539776,0,11733504,0,9989632,0,14990848,0
2015-10-25 11:27:28 -0700,0,6528,6612,4235,3125,0,1,4,93,4,3,4,2,1,3,1,4,1,2,3,4,2,4,583,209,208,0,5486080,0,12343808,0,4361216,0,3823616,0
2015-10-25 11:27:38 -0700,0,6075,5660,3388,2725,0,1,4,89,3,3,2,1,1,2,1,4,1,1,2,4,2,2,104,205,160,0,6765056,0,3255296,0,3655680,0,6417408,0
2015-10-25 11:27:48 -0700,0,7987,7574,3480,2925,0,1,5,94,4,3,3,1,2,3,1,5,1,2,3,5,2,5,262,391,360,0,14455808,0,11229696,0,7967744,0,11376128,0
2015-10-25 11:27:58 -0700,0,6704,6224,3846,3022,0,1,5,91,4,3,3,2,1,4,2,5,1,2,4,5,2,4,272,225,255,0,9972224,0,8321024,0,6714368,0,6909952,0
2015-10-25 11:28:08 -0700,0,8575,7823,3370,2627,0,1,63,95,5,4,4,1,3,12,63,7,1,2,4,7,52,24,297,616,553,1774,23386112,49045504,16552448,67260416,15990784,66609152,13265920,38957056
2015-10-25 11:28:18 -0700,0,6320,5911,5027,7853,0,1,4,92,3,3,2,1,1,2,1,4,1,2,3,4,2,3,227,301,238,0,8670208,0,6517248,0,6847488,0,7822848,0
2015-10-25 11:28:28 -0700,0,7851,6831,3660,4394,0,1,6,93,6,5,6,3,2,5,2,6,1,2,5,6,3,6,669,533,462,0,13099520,0,23579136,0,11467776,0,9619456,0
2015-10-25 11:28:38 -0700,0,7128,7138,3846,3482,0,1,4,94,4,3,4,3,1,4,2,4,1,2,3,4,3,4,478,277,199,0,4938752,0,11262464,0,4638208,0,4149248,0
2015-10-25 11:28:49 -0700,0,6604,5846,3553,2859,0,1,5,91,5,3,4,3,1,4,2,5,1,2,3,5,3,4,497,223,170,0,6681600,0,6721024,0,2619392,0,5308928,0
2015-10-25 11:28:59 -0700,0,8729,8066,3078,2484,0,1,6,96,6,4,6,3,1,4,2,6,1,2,4,6,3,5,766,225,153,96,2654720,12070912,6821376,4096,4081152,4096,5651968,0
2015-10-25 11:29:09 -0700,0,6546,5837,3554,3333,0,1,4,91,4,3,3,2,1,4,1,4,1,2,3,4,2,4,438,291,209,0,5950464,0,8600576,0,8905728,0,2752000,0
2015-10-25 11:29:19 -0700,0,8259,7132,3218,2712,0,1,5,93,5,4,4,2,2,5,2,5,1,2,4,5,3,5,268,448,385,0,17362944,0,13521408,0,12313088,0,4986368,0
2015-10-25 11:29:29 -0700,0,6855,6940,4023,3142,0,1,6,93,6,5,6,4,1,6,3,5,1,2,4,5,3,5,446,284,169,0,5458432,0,5484032,0,4512256,0,5704192,0
2015-10-25 11:29:39 -0700,0,6360,5958,3735,2724,0,1,5,90,3,3,3,1,1,3,1,4,1,1,3,4,2,5,398,331,338,0,10029056,0,12758528,0,12220416,0,7298048,0
2015-10-25 11:29:49 -0700,0,7754,7644,4295,2759,0,1,4,93,3,3,3,1,1,2,1,4,1,2,3,4,2,3,169,259,219,0,6526464,0,9270784,0,6996480,0,4652544,0
2015-10-25 11:29:59 -0700,0,6913,6265,4238,3193,0,1,4,91,4,3,4,1,1,3,1,4,1,2,3,4,2,3,471,356,158,0,9191424,0,6728192,0,2381312,0,1502208,0
2015-10-25 11:30:09 -0700,0,8414,7652,3419,2787,0,1,5,95,4,3,2,1,2,3,1,5,1,2,4,5,2,4,110,411,360,0,15566336,0,10479616,0,11888640,0,7092224,0
2015-10-25 11:30:19 -0700,0,6119,5742,3737,3189,0,1,4,91,3,3,2,1,1,2,0,4,1,1,2,4,2,3,280,290,243,0,7844864,0,8435712,0,10375680,0,3796992,0
2015-10-25 11:30:29 -0700,0,8375,7339,3388,2841,0,1,17,93,5,4,5,1,2,4,3,6,1,2,4,6,5,17,365,621,566,2028,19609088,75509760,23585280,76746752,13799424,57081856,13853696,44265472
2015-10-25 11:30:40 -0700,0,6870,7081,4414,3066,0,1,4,91,3,3,3,1,2,3,1,4,1,2,3,4,2,4,286,380,394,0,16432128,0,19814912,0,8338944,0,4759552,0
2015-10-25 11:30:50 -0700,0,6457,5850,4492,3058,0,1,4,90,3,3,2,1,1,2,1,4,1,2,3,4,2,3,180,246,233,0,6543872,0,8731136,0,3895296,0,10008576,0
2015-10-25 11:31:00 -0700,0,8459,8230,3809,2345,0,1,6,95,4,3,3,1,2,4,1,6,1,2,4,6,3,5,271,433,396,0,13832704,0,20540928,0,8790016,0,6411776,0
2015-10-25 11:31:10 -0700,0,6050,5539,4390,3100,0,1,4,90,2,3,2,1,1,2,0,4,1,1,2,4,1,2,118,206,143,0,7720960,0,6904320,0,2463744,0,786944,0
2015-10-25 11:31:20 -0700,0,7778,6963,3280,2405,0,1,5,92,4,3,3,1,1,3,1,5,1,2,3,5,2,3,247,350,283,0,7471616,0,15089152,0,4321792,0,8570880,0
2015-10-25 11:31:30 -0700,0,6648,6541,3576,2792,0,1,5,91,4,3,4,1,1,3,1,5,1,2,3,5,2,3,392,203,148,0,4963840,0,5581824,0,4494336,0,3550208,0
2015-10-25 11:31:40 -0700,0,6573,5989,3197,2608,0,1,8,91,3,3,2,1,1,2,2,5,1,2,3,5,3,9,130,312,385,994,16579584,33230848,14996992,35188736,6877696,24264704,9721856,31580160
2015-10-25 11:31:50 -0700,0,7611,7190,3434,2708,0,1,4,93,3,3,2,1,1,2,1,4,1,1,2,4,1,2,112,308,105,0,3559936,0,3721216,0,2247168,0,3692544,0
2015-10-25 11:32:00 -0700,0,6912,6127,3948,2834,0,1,4,92,3,3,3,1,1,3,1,4,1,2,3,4,2,3,406,213,211,0,9307648,0,8844288,0,7021568,0,1265152,0
2015-10-25 11:32:10 -0700,0,8378,7962,3546,2901,0,1,5,95,4,3,3,1,2,3,1,5,1,2,4,5,2,5,223,482,459,0,9497088,0,23193600,0,17375744,0,7373824,0
2015-10-25 11:32:20 -0700,0,6098,5690,4843,3026,0,1,4,90,3,3,2,1,1,2,1,4,1,1,3,4,2,3,166,172,230,0,7050752,0,11646464,0,5753344,0,4306944,0
