"","900 users","1200 users","1800 users","2400 users","3000 users"
"SMB2.Ops.sec",3865.433,4538.1,5793.558,7154.667,8588.875
"VSPfs00.Ops.sec",3440.708,4123.458,5442.625,6623.833,8113.508
"VSPfs00.CIFS.Read.Resp.Time",2998.083,2940.792,3222.35,4278.392,4625.45
"VSPfs00.CIFS.Write.Resp.Time",2190.508,2994.283,2469.075,3345.425,3623.592
"MFB",3.408,4.25,4.925,5.925,7.5
"MMB",81.858,83.958,88.483,92.192,95.233
"NibRX.Busy",1.65,1.975,2.792,3.65,4.667
"NibTX.Busy",3,3,3.008,3.117,3.5
"NibTCP.Busy",1.175,1.375,2.133,2.875,3.708
"NICC.Busy",0.367,0.592,0.925,1.2,1.55
"FDP.Busy",0.65,0.917,1.075,1.342,1.617
"TDP.Busy",1.383,1.717,2.558,3.1,3.983
"FSA.Busy",0.475,1.275,1.45,1.783,2.383
"MBI.Busy",0.508,0.8,1.075,1,1.05
"WDIR.Busy",1,0.983,1.275,1.608,2.167
"WFILE.Busy",1.625,1.967,2.442,3.183,3.875
"WLOG.Busy",2.683,3.067,3.683,4.483,5.425
"OBJ.Busy",1.3,1.925,2.383,2.783,3.625
"SI.Busy",2.367,2.783,4.067,4.958,6.258
"Eth.RX",94.15,119.383,195.925,278.025,378.35
"Eth.TX",132.042,177.808,255,338.7,436.508
"FC.RX",108.075,142.925,210.442,279.767,357.067
"FC.TX",108.017,111.717,182.917,193.967,334.267
"Port1.Disk.Read",4117802.667,5325627.733,8006101.333,10295496.533,13786474.667
"Port1.Disk.Write",4462216.533,4205806.933,6934903.467,8523673.6,12361489.067
"Port2.Disk.Read",4076390.4,5399112.533,7987908.267,11156288,13193420.8
"Port2.Disk.Write",4448085.333,4209083.733,7019588.267,8668945.067,12382515.2
"Port3.Disk.Read",2766877.867,3857838.933,5287283.2,6957422.933,8834346.667
"Port3.Disk.Write",2880750.933,2736605.867,4583082.667,6070306.133,8518997.333
"Port4.Disk.Read",2822173.867,3444454.4,5352247.467,6691694.933,8811008
"Port4.Disk.Write",3102993.067,2823236.267,4336674.133,5787409.067,8529749.333
