"","900 users","1200 users","1800 users","2400 users","3000 users"
"SMB2.Ops.sec",2256.5,3059.675,4435.642,5992.3,7290.292
"VSPfs00.Ops.sec",2222.733,2863.992,4471.108,5800.367,7036.942
"VSPfs00.CIFS.Read.Resp.Time",3880.95,2939.842,4117.408,3765.992,4629.858
"VSPfs00.CIFS.Write.Resp.Time",1435.65,962.167,1440.8,936.375,1078.525
"MFB",3.35,3.775,6,5.75,7.517
"MMB",23.775,28.775,38.767,46.592,51.592
"NibRX.Busy",1.058,1.308,2.017,2.708,3.833
"NibTX.Busy",3,3,3.008,3.092,3.867
"NibTCP.Busy",1.025,1.2,1.842,2.575,3.733
"NICC.Busy",0.4,0.717,0.992,1.2,1.717
"FDP.Busy",0.35,0.6,1.083,1.35,1.375
"TDP.Busy",1.242,1.708,2.55,3.367,4.217
"FSA.Busy",0.317,0.717,2.717,2.125,1.783
"MBI.Busy",0.258,0.042,0.525,0.975,1.058
"WDIR.Busy",0.758,0.975,1.05,1.45,1.917
"WFILE.Busy",1.192,1.383,2.042,2.542,3.4
"WLOG.Busy",1.375,1.742,2.567,3.45,4.475
"OBJ.Busy",1.492,1.558,3.233,3.017,3.658
"SI.Busy",2.333,2.908,4.742,5.167,7.375
"Eth.RX",93.067,132.95,186.833,261.125,410.3
"Eth.TX",121.975,160.167,253.158,337.817,373.367
"FC.RX",111.058,143.733,228.783,298.217,315.758
"FC.TX",103.933,158.833,209.875,277.217,388.892
"Port1.Disk.Read",3891460.267,5366848,8640546.133,10960034.133,11788535.467
"Port1.Disk.Write",3959193.6,5447611.733,7927534.933,11593728,17868151.467
"Port2.Disk.Read",4243498.667,5542843.733,8712439.467,11369924.267,11540659.2
"Port2.Disk.Write",4050568.533,5763584,8012356.267,11729851.733,17051409.067
"Port3.Disk.Read",3039918.933,3839598.933,5909137.067,7758638.933,8410538.667
"Port3.Disk.Write",2659635.2,3926630.4,5402419.2,7822199.467,12489216
"Port4.Disk.Read",2740194.133,3571908.267,5593399.467,6967027.2,7795972.267
"Port4.Disk.Write",2813235.2,3781632,5676885.333,7817250.133,11505083.733
